epoch,target_acc,avg_source_acc,worst_source_acc,q,acc_art_painting,acc_cartoon,acc_photo,acc_sketch
1,0.4321710358869941,0.8650453319576717,0.7171501706484642,"[0.3787064552307129, 0.38700833916664124, 0.23428525030612946]",0.8935546875,0.7171501706484642,0.9844311377245509,0.4321710358869941
2,0.6088063120386867,0.9301569203210472,0.8843856655290102,"[0.3974508047103882, 0.4338360130786896, 0.16871316730976105]",0.9228515625,0.8843856655290102,0.9832335329341317,0.6088063120386867
3,0.6164418427080682,0.9473018227357146,0.8954778156996587,"[0.3920172154903412, 0.48844143748283386, 0.11954131722450256]",0.95361328125,0.8954778156996587,0.9928143712574851,0.6164418427080682
4,0.6747263934843472,0.9511176818451408,0.924061433447099,"[0.38860249519348145, 0.5231969952583313, 0.08820051699876785]",0.93408203125,0.924061433447099,0.9952095808383233,0.6747263934843472
5,0.6846525833545432,0.9673907457855194,0.94970703125,"[0.39164999127388, 0.5373420119285583, 0.07100792974233627]",0.94970703125,0.9560580204778157,0.9964071856287425,0.6846525833545432
6,0.7653346907610079,0.9627919469029091,0.9261945392491467,"[0.396280974149704, 0.5459551215171814, 0.05776388943195343]",0.96337890625,0.9261945392491467,0.9988023952095808,0.7653346907610079
7,0.7388648511071519,0.9655246334602552,0.9287542662116041,"[0.4052691161632538, 0.553328812122345, 0.04140205308794975]",0.97021484375,0.9287542662116041,0.9976047904191617,0.7388648511071519
8,0.7554085008908119,0.9679130673167317,0.9381399317406144,"[0.38125887513160706, 0.5853248834609985, 0.033416252583265305]",0.966796875,0.9381399317406144,0.9988023952095808,0.7554085008908119
9,0.7546449478238738,0.9670016981289128,0.9453924914675768,"[0.36736807227134705, 0.6066426634788513, 0.025989321991801262]",0.9580078125,0.9453924914675768,0.9976047904191617,0.7546449478238738
10,0.7304657673708322,0.9596713915385952,0.9398464163822525,"[0.36628884077072144, 0.6136709451675415, 0.02004018798470497]",0.943359375,0.9398464163822525,0.9958083832335329,0.7304657673708322
11,0.7034868923390175,0.9835214024276532,0.9722696245733788,"[0.3826245665550232, 0.6026179790496826, 0.014757437631487846]",0.9794921875,0.9722696245733788,0.9988023952095808,0.7034868923390175
12,0.7762789513871214,0.9813823637920405,0.9701365187713311,"[0.3718964159488678, 0.6152003407478333, 0.01290323119610548]",0.974609375,0.9701365187713311,0.9994011976047904,0.7762789513871214
13,0.785950623568338,0.978360841776345,0.9577645051194539,"[0.3951466679573059, 0.5942038297653198, 0.010649530217051506]",0.978515625,0.9577645051194539,0.9988023952095808,0.785950623568338
14,0.7818783405446679,0.9828326322504308,0.9718430034129693,"[0.4193172752857208, 0.5722641944885254, 0.008418544195592403]",0.9814453125,0.9718430034129693,0.9952095808383233,0.7818783405446679
15,0.7841689997454823,0.9828985586846785,0.9697098976109215,"[0.4318493902683258, 0.5617202520370483, 0.0064303455874323845]",0.984375,0.9697098976109215,0.9946107784431137,0.7841689997454823
16,0.7948587426826165,0.989147824232082,0.9752559726962458,"[0.40322715044021606, 0.5914576649665833, 0.005315227434039116]",0.9921875,0.9752559726962458,1.0,0.7948587426826165
17,0.8017307202850598,0.9888060163802089,0.9748293515358362,"[0.4071393609046936, 0.5882357954978943, 0.00462482962757349]",0.9921875,0.9748293515358362,0.9994011976047904,0.8017307202850598
18,0.7928226011707814,0.9881918150952788,0.9748293515358362,"[0.3792150020599365, 0.6166113615036011, 0.004173710942268372]",0.98974609375,0.9748293515358362,1.0,0.7928226011707814
19,0.785950623568338,0.9821001102530434,0.9641638225255973,"[0.36152106523513794, 0.6349720358848572, 0.0035069116856902838]",0.986328125,0.9641638225255973,0.9958083832335329,0.785950623568338
20,0.7976584372613896,0.9927072669134853,0.9850682593856656,"[0.333059698343277, 0.6639633178710938, 0.0029769709799438715]",0.99365234375,0.9850682593856656,0.9994011976047904,0.7976584372613896
